lr-Adam,step,val_loss,val_auc,epoch,train_loss,train_auc
0.001,0,,,,,
,7392,0.5950126647949219,0.7485352107092628,0,,
,7392,,,0,0.640168309211731,0.6768452353480677
0.001,7393,,,,,
,14785,0.6008149981498718,0.7649705861563391,1,,
,14785,,,1,0.595088541507721,0.74893238782124
0.001,14786,,,,,
,22178,0.5739237666130066,0.7740408429668085,2,,
,22178,,,2,0.5820503234863281,0.7639749120600193
0.001,22179,,,,,
,29571,0.5548968315124512,0.7913187626781001,3,,
,29571,,,3,0.5750012993812561,0.7716071748411409
0.001,29572,,,,,
,36964,0.5527855753898621,0.793324229986108,4,,
,36964,,,4,0.570294976234436,0.7760782755469738
0.001,36965,,,,,
,44357,0.5557224154472351,0.7897329130005475,5,,
,44357,,,5,0.5666167140007019,0.7797857189066011
0.001,44358,,,,,
,51750,0.556698203086853,0.7928618289271748,6,,
,51750,,,6,0.5643224120140076,0.7821672437336854
0.001,51751,,,,,
,59143,0.5466558933258057,0.7984814684035323,7,,
,59143,,,7,0.5621076822280884,0.7842110584307699
0.001,59144,,,,,
,66536,0.5478310585021973,0.7967753675903174,8,,
,66536,,,8,0.5604257583618164,0.7858393613956052
0.001,66537,,,,,
,73929,0.5445730686187744,0.7993465297033168,9,,
,73929,,,9,0.5588241815567017,0.7873088170158506
0.0009048374180359595,73930,,,,,
,81322,0.5481399893760681,0.8000996526582501,10,,
,81322,,,10,0.5560987591743469,0.7898703245456559
0.0008187307530779819,81323,,,,,
,88715,0.5444680452346802,0.8010758978936502,11,,
,88715,,,11,0.5543748140335083,0.7912994212622269
0.0007408182206817179,88716,,,,,
,96108,0.5419697761535645,0.8037399240083231,12,,
,96108,,,12,0.5527565479278564,0.7925385388350271
0.0006703200460356394,96109,,,,,
,103501,0.5413038730621338,0.8043662907162761,13,,
,103501,,,13,0.5513209700584412,0.7940044278068131
0.0006065306597126335,103502,,,,,
,110894,0.538505494594574,0.8064230077238979,14,,
,110894,,,14,0.5499216318130493,0.7950096665392451
0.0005488116360940264,110895,,,,,
,118287,0.538379430770874,0.8052234856767355,15,,
,118287,,,15,0.5482519865036011,0.796757001254898
0.0004965853037914095,118288,,,,,
,125680,0.543265163898468,0.8028938946019447,16,,
,125680,,,16,0.5474340915679932,0.7972261785942328
0.0004493289641172216,125681,,,,,
,133073,0.5354389548301697,0.8082407488208178,17,,
,133073,,,17,0.546417772769928,0.7980919435688351
0.00040656965974059914,133074,,,,,
,140466,0.5364962220191956,0.8075630477057687,18,,
,140466,,,18,0.5453198552131653,0.7987780684734408
0.00036787944117144236,140467,,,,,
,147859,0.5349010825157166,0.8081238131381909,19,,
,147859,,,19,0.5439890027046204,0.8003063250649388
0.00033287108369807955,147860,,,,,
,155252,0.5353794097900391,0.8085019350497593,20,,
,155252,,,20,0.5433685779571533,0.80080302128845
0.00030119421191220205,155253,,,,,
,162645,0.5349447131156921,0.8083237358712494,21,,
,162645,,,21,0.5427756905555725,0.8016424968176682
0.0002725317930340126,162646,,,,,
,170038,0.5342454314231873,0.8097548690449934,22,,
,170038,,,22,0.5425314903259277,0.8012508443702624
0.00024659696394160646,170039,,,,,
,177431,0.5341137051582336,0.8101359796715414,23,,
,177431,,,23,0.541726291179657,0.8023535122965917
0.00022313016014842982,177432,,,,,
,184824,0.5331474542617798,0.810193471169607,24,,
,184824,,,24,0.5408754944801331,0.8029404638876891
0.00020189651799465538,184825,,,,,
,192217,0.5328369140625,0.8111165684640975,25,,
,192217,,,25,0.540497899055481,0.8032879939346109
0.0001826835240527346,192218,,,,,
,199610,0.5320658683776855,0.8110963536272112,26,,
,199610,,,26,0.5402783155441284,0.8033919359841785
0.00016529888822158653,199611,,,,,
,207003,0.5317521095275879,0.81064529318842,27,,
,207003,,,27,0.5394695401191711,0.8038568355863973
0.00014956861922263504,207004,,,,,
,214396,0.5313082933425903,0.8111902902643635,28,,
,214396,,,28,0.5390687584877014,0.8040125648634321
0.0001353352832366127,214397,,,,,
,221789,0.5324319005012512,0.810534056055909,29,,
,221789,,,29,0.5393822193145752,0.8040724530367279
